,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,1392.110962,1431.4232993333333,1423.0066326666665,1410.712321,1372.7480059999998,1386.2670083333333,1381.3723143333332,1378.47465,1353.2930093333334,1335.622355,1320.3523356666665,1333.9449869999999,1330.4126383333332,1339.6173093333332,1313.3642983333332,1301.4496663333332,1296.531006,1299.255005,1305.5079753333332,1317.6346436666668,1315.7376709999999,1339.569336,1361.6046549999999,1400.477620333333,1428.1663003333333,1446.1556393333333,1466.024007,1468.5019936666667,1481.853353,1496.2259929999998,1527.2700196666665,1571.1140136666668,1624.5446776666665,1671.1203206666664,1719.1326496666666,1754.1786703333332,1798.2473553333332,1819.5096846666665,1848.9706626666664,1861.431315333333,1885.8729656666665,1900.817993333333,1932.3963216666666,1942.5646566666667,1938.4799806666667,1895.820679,1834.9506836666665,1790.4879963333333,1764.1802976666668,1769.196289,1778.1836343333334,1788.3136393333334,1805.0196533333333,1809.7649739999997,1815.3016356666665,1811.8052976666663,1816.3493243333332,1821.586995333333,1815.7899983333332,1808.6649983333332,1808.1363523333334,1822.0470376666665,1845.4183756666666,1864.109375,1880.1893716666668,1881.7350259999998,1893.324666333333,1903.359985333333,1933.1036376666664,1961.5393066666666,1998.0183106666664,2023.202311333333,2027.2846679999998,2009.1870116666664,1989.562703333333,1970.7440186666663,1982.5453289999996,1994.4139813333331,2010.9123129999998,1976.8946533333333,1940.9206543333332,1897.5176593333333,1898.5299883333332,1895.3646643333332,1893.8800046666665,1858.2616779999998,1831.5579833333331,1801.2733153333331,1768.918986,1718.2663576666666,1669.4626873333332,1633.1120199999998,1615.070353333333,1596.0056966666666,1562.915039,1501.415039,1687.5696347604164,2027.2846679999998,1296.531006,5.0,4.0,13.0,8.5
1,1423.4926353333333,1432.9378663333332,1426.6569961111109,1411.4917943333332,1396.8522407777775,1392.6751166666666,1386.7606606666666,1390.4883353333335,1373.0870087777778,1361.6948918888888,1341.5825465555554,1345.1757676666666,1336.738444,1330.576443111111,1327.3475476666667,1326.9012178888888,1336.1763237777777,1335.901095888889,1339.8508707777778,1346.3146565555555,1341.391669333333,1347.3171114444444,1352.328328333333,1379.942654,1400.740546222222,1418.5502114444444,1437.1013318888886,1444.9008788888889,1470.460666222222,1491.4338785555556,1530.043891111111,1564.486328111111,1608.4403346666663,1649.2577716666665,1685.4398869999998,1704.086995333333,1733.3773328888888,1754.868557555555,1790.5872125555552,1805.0235461111108,1832.0983208888886,1841.0574544444441,1868.3714464444442,1873.8415527777775,1874.3451064444441,1831.8918999999999,1786.8540038888887,1736.1212157777777,1713.5434163333334,1701.552083333333,1716.7771945555553,1727.3734266666663,1747.6892089999997,1750.0979816666663,1758.2473143333332,1763.2284205555554,1769.647542222222,1769.7221001111106,1751.970445444444,1735.8621148888885,1742.2002224444443,1758.3401149999997,1785.6935627777775,1793.9671222222219,1807.0715737777778,1825.5575628888887,1846.9118787777775,1865.2873127777775,1897.0484347777774,1940.146335222222,1985.5908882222218,2005.5930989999997,1999.5895589999998,1984.054565444444,1958.3527967777775,1951.6013319999997,1948.4949952222219,1952.0408801111107,1955.681654222222,1944.5113118888887,1925.8733046666666,1886.8027615555554,1869.2525498888886,1858.573893111111,1846.7237819999998,1819.488227111111,1788.570543222222,1751.961656444444,1716.4498834444441,1676.3321263333332,1630.8620199999996,1581.9780138888884,1554.5697836666664,1528.0799018888886,1514.1150174444442,1488.7266846666666,1658.4257207824073,2005.5930989999997,1326.9012178888888,6.0,6.0,16.0,11.0
2,1430.28064,1420.5431994444443,1413.9302165555555,1400.3945721111108,1400.2571208888887,1391.0482177777776,1384.900770222222,1390.057454222222,1375.9306773333333,1364.9757756666666,1348.1734345555553,1349.5156655555552,1344.317464111111,1327.6097954444444,1333.631673111111,1340.5215519999997,1358.9274358888886,1354.1143255555553,1351.1902126666664,1353.7591009999999,1352.740546222222,1351.3806557777775,1351.5371092222222,1371.5224473333333,1402.4512261111108,1423.5062119999998,1449.1323243333331,1455.1317682222223,1484.6664361111111,1507.7075465555554,1555.7035454444444,1592.2383218888888,1638.6897649999996,1675.154215333333,1708.2423365555553,1721.6400009999998,1746.8726669999996,1767.9825574444442,1805.8103297777777,1823.1193304444444,1853.161553222222,1861.6835665555554,1887.3648953333332,1894.7835557777776,1897.3402235555554,1855.251790333333,1805.1806639999998,1743.6466606666665,1708.2081976666666,1690.9089897777776,1707.111545111111,1731.1985541111108,1754.696438222222,1764.9371065555551,1777.9461126666665,1790.126885222222,1800.827989333333,1799.0497639999999,1784.1319987777774,1767.1290013333328,1768.7320964444443,1777.6543104444443,1795.5970864444444,1799.828545222222,1810.4650064444443,1834.5222304444444,1865.4099935555553,1870.1218804444443,1887.4250081111109,1915.8677978888886,1969.4861246666662,1994.8334417777774,1990.3505587777777,1988.1860079999997,1967.880900111111,1978.6535645555555,1967.9384495555553,1962.7504476666663,1955.3493245555553,1952.3109808888887,1947.7840847777775,1910.6884223333334,1886.9083252222217,1870.1302218888886,1858.7878961111107,1835.7608915555552,1801.4467775555552,1758.3466663333331,1718.3096789999995,1685.110677222222,1640.5934653333331,1582.219455444444,1544.3403457777777,1515.1994494444443,1511.0324436666665,1500.1809896666666,1667.8562258900463,1994.8334417777774,1327.6097954444444,7.0,5.0,14.0,9.5
3,1422.3849693333332,1419.0956488888887,1420.3814425555554,1403.4641113333332,1406.6659885555555,1385.2709825555555,1384.1539984444444,1378.9395749999999,1367.141574222222,1349.6292316666666,1339.8339977777778,1342.6865504444443,1343.0115558888888,1327.4278971111112,1343.5333386666666,1351.173448222222,1376.8963351111108,1370.4236788888888,1376.649563222222,1373.0414496666665,1371.0279947777776,1369.9893255555555,1379.2577717777776,1400.782891111111,1423.243448888889,1446.3333196666665,1475.5953234444444,1493.865654888889,1519.3698866666666,1538.9181043333333,1584.0171034444443,1625.8746608888887,1676.4041068888887,1709.089111222222,1741.4862195555554,1757.7673339999997,1785.2385524444444,1802.4919975555554,1836.6913247777777,1850.320882111111,1881.9475639999996,1899.7503389999997,1926.970784444444,1940.4482149999997,1935.4271104444442,1899.7342257777775,1842.0251057777778,1779.607544,1738.6662055555553,1728.6835531111108,1744.439887222222,1777.7285427777774,1795.1673176666663,1813.3595512222219,1819.2741156666664,1827.523885111111,1829.8538818888887,1829.3008897777777,1824.9265678888885,1812.7392171111107,1813.3864203333333,1821.6030815555553,1838.386203222222,1842.0893417777775,1852.0807969999996,1873.486463888889,1904.603000333333,1905.9563396666665,1922.452338333333,1948.6996798888886,2001.0261228888885,2030.0420056666665,2026.6542425555554,2028.2535535555553,2012.5603298888886,2027.1596544444442,2007.6366645555554,1998.4568955555553,1981.3968776666663,1983.7797579999997,1975.147203222222,1949.2199842222221,1925.8935546666667,1912.0721028888886,1899.2147759999998,1871.4504259999999,1834.989990333333,1778.3798829999996,1736.1304662222217,1688.4590116666664,1649.6709121111107,1590.5733372222219,1551.351576222222,1523.6405573333332,1508.972887,1482.2543133333334,1693.8987042418978,2030.0420056666665,1327.4278971111112,1.0,2.0,16.0,9.0
4,1423.6773276666665,1427.221544,1432.5871037777777,1424.4187688888887,1420.7409938888889,1401.911092111111,1398.9992133333333,1396.8043347777777,1392.3592393333333,1376.2713486666667,1370.8808863333331,1359.5995549999998,1364.1550021111111,1347.4319118888889,1363.2269015555553,1362.4970024444442,1381.427775111111,1377.006117111111,1380.8655598888888,1378.0778944444442,1383.254218222222,1393.2520074444444,1404.8338895555553,1430.608778222222,1456.6334364444442,1491.6573214444443,1521.092665,1538.4595539999998,1554.9274494444442,1571.6572264444444,1605.275119333333,1644.1895616666663,1689.0441079999996,1727.8927679999997,1770.3026529999997,1796.630995111111,1827.4261067777775,1842.2731118888887,1877.0693357777775,1898.6822236666665,1931.8229978888885,1953.811428333333,1978.5264348888884,1988.9158798888889,1971.270548444444,1931.3908826666664,1871.1032036666666,1813.8691,1773.3133274444442,1762.3699003333331,1766.3218995555553,1799.702446888889,1818.5197753333332,1844.6856688888886,1855.048448333333,1860.9959987777777,1869.3429904444442,1866.52044,1876.7385525555555,1873.7360975555553,1871.9904106666663,1867.5559623333331,1869.2337508888886,1874.2513291111109,1882.162896111111,1899.8178984444444,1927.5536704444442,1937.0230036666662,1959.8865559999997,1984.1072319999994,2027.031358444444,2047.7487928888886,2049.764472,2054.819783444444,2044.609239333333,2053.1271159999997,2033.7172309999999,2020.4797905555552,1996.2499998888886,1989.7415498888886,1988.271104444444,1976.1765406666666,1962.4451089999998,1940.9989963333333,1925.3484565555555,1893.3594428888887,1858.8721111111108,1801.5069988888886,1761.6479087777775,1716.8690052222219,1678.2765707777776,1623.6351183333331,1576.8817004444443,1551.8383383333332,1529.5688884444444,1500.319336,1721.7730811770832,2054.819783444444,1347.4319118888889,2.0,6.0,21.0,13.5
5,1441.0270183333332,1448.5302326666665,1452.3768986666666,1437.3788925555555,1422.942342111111,1403.4874403333333,1401.8656684444443,1400.84611,1392.4456787777776,1383.9996744444443,1371.4772134444443,1361.3882106666665,1356.0113254444443,1346.1041261111109,1362.7111275555553,1359.7320015555554,1372.5794407777776,1372.5394423333332,1382.7623426666664,1382.9318983333333,1385.6915554444442,1398.5473497777775,1413.965454222222,1443.1211208888888,1463.3598767777776,1498.5037704444442,1524.9970024444444,1550.123223111111,1562.322333333333,1569.3240016666664,1591.2875705555552,1627.0063477777774,1669.1917859999996,1707.2483316666664,1749.8908826666664,1778.8234456666664,1807.522108333333,1820.514336444444,1848.8637829999996,1872.3605684444442,1904.9005667777776,1934.6845429999996,1959.329657555555,1966.9212103333334,1946.8495551111107,1904.167548222222,1853.924655555555,1802.6506619999998,1771.0378962222221,1756.6029054444443,1756.3240018888887,1777.2689887777778,1797.80287,1820.1049939999998,1833.1173231111109,1835.534654333333,1838.5195447777776,1837.6496717777777,1839.6953396666663,1844.0324299999997,1848.2877467777773,1850.6805283333333,1858.260430111111,1863.3802218888886,1880.1886664444442,1900.5216607777775,1926.7093235555553,1951.0679933333329,1987.323771222222,2028.876451222222,2059.135796333333,2069.636800111111,2065.4189316666666,2064.833577444444,2053.017361111111,2041.3339979999996,2021.0216742222221,2008.844238222222,1993.9012314444442,1983.6354437777777,1976.7495523333328,1971.2121038888886,1961.8990071111111,1932.9795599999998,1910.049791222222,1877.8233372222219,1851.540324,1792.8865425555553,1751.5639921111106,1700.573432222222,1660.051215333333,1612.6811116666665,1572.4699165555553,1547.9136828888886,1514.7796767777777,1477.029012,1715.470823503472,2069.636800111111,1346.1041261111109,3.0,8.0,22.0,15.0
6,1455.8383789999998,1453.1815727777775,1448.916558,1426.2692327777777,1415.2983397777775,1404.3043347777777,1403.7066649999997,1401.4459906666666,1393.8995497777778,1388.387546,1370.0040960000001,1357.6422117777777,1351.777547222222,1344.6733398888887,1345.647895111111,1342.3915473333332,1342.5850966666665,1351.3203125555553,1360.8678793333331,1368.5248888888889,1374.1965603333333,1385.8913574444443,1408.8982339999998,1433.2746717777777,1462.5006509999998,1502.4914414444443,1535.390774111111,1552.0541042222221,1560.5067544444441,1565.2899983333332,1594.4912381111108,1629.0586888888884,1669.759779333333,1710.7649875555553,1754.2172173333329,1786.9405653333333,1818.6214599999996,1832.813246,1858.5664604444441,1882.044691222222,1916.3387856666666,1945.0668808888886,1969.221761111111,1974.1894259999997,1961.6652154444441,1907.867662222222,1859.675998444444,1804.0215658888887,1774.180013111111,1751.6751302222222,1755.9527858888887,1770.5913356666665,1797.1022135555554,1811.088772222222,1825.8504367777775,1833.300998222222,1845.264105888889,1846.3240017777775,1839.187554333333,1848.5395508888887,1855.908542222222,1855.9471028888888,1855.574110222222,1865.620890333333,1889.8874375555554,1911.4525417777772,1939.7588704444443,1965.77299,1992.023668111111,2026.0979003333332,2048.3719074444443,2055.576239666667,2049.6651475555554,2049.6986898888886,2046.6408149999997,2033.883911333333,2017.1622586666663,2008.5489095555554,1999.798014222222,1989.5403373333331,1976.110663333333,1964.4790986666662,1949.0739879999996,1918.285671555555,1899.2483453333332,1872.6324599999998,1845.820543222222,1788.3094347777776,1751.6339789999997,1714.5060899999999,1673.8317599999996,1631.4951172222218,1595.9981418888885,1568.9853516666662,1533.4224446666663,1499.5939939999998,1715.853306528935,2055.576239666667,1342.3915473333332,4.0,5.0,20.0,12.5
7,1490.61438,1466.766235333333,1446.0166556666666,1428.875881444444,1427.075100222222,1424.9576685555555,1416.6166719999999,1401.439331,1390.3394368888887,1379.3119845555555,1367.4885388888888,1360.8174234444443,1354.8065457777777,1353.5557726666666,1350.6964519999997,1360.4506564444441,1358.2283257777776,1365.4052055555555,1367.7646619999998,1380.4640027777778,1382.4873453333332,1384.6518011111111,1404.4391275555554,1431.8530002222221,1461.3279893333333,1492.233778111111,1514.7890081111111,1530.954549111111,1537.647637222222,1554.717095222222,1595.4082166666662,1630.8330077777775,1672.4657661111107,1710.6258815555552,1754.070787222222,1784.3322483333332,1809.1018067777773,1829.5413547777775,1847.3194579999995,1873.731689444444,1897.3340251111108,1923.9053548888887,1945.171563222222,1953.3815512222218,1948.423448444444,1899.5255669999997,1851.3520102222221,1800.380561,1762.5995549999998,1737.0761174444444,1739.5654431111109,1752.578219888889,1784.305881111111,1789.59611,1802.3200005555555,1803.0287814444443,1813.604343,1814.4522298888887,1808.463677333333,1809.5668946666665,1819.6618924444442,1820.7760011111109,1832.1238878888887,1838.701782333333,1870.428548111111,1888.1844346666664,1925.564426,1953.1144478888884,1986.3584527777775,2022.6721326666666,2046.753119444444,2054.6746825555556,2046.4286837777772,2037.7490098888886,2035.7884657777774,2022.358914,2006.6605904444443,1995.5708008888887,1984.0663384444442,1980.3852267777775,1965.7758788888887,1950.8568792222218,1931.3656546666666,1906.674004333333,1897.521674333333,1872.8365615555554,1843.90998,1787.6862115555555,1752.126207111111,1712.8426513333334,1673.921088222222,1629.9334445555555,1604.387139222222,1576.3573541111107,1541.2628851111108,1495.1816403333332,1708.765780270833,2054.6746825555556,1350.6964519999997,5.0,3.0,14.0,8.5
8,1494.0440266666665,1469.6896564444442,1448.0756426666665,1435.1494273333333,1430.0943194444444,1427.5017766666665,1419.349121111111,1405.676228888889,1400.6646593333332,1385.2666557777775,1377.3081054444442,1363.3107774444443,1361.7779948888888,1358.7267659999998,1348.7466634444443,1356.127441333333,1362.2524414444442,1372.0702039999999,1379.9472114444443,1389.9821234444444,1394.3423665555554,1395.1782496666665,1409.8784449999998,1439.4153102222222,1458.5751003333332,1479.4884575555554,1497.6930202222222,1505.4438883333332,1519.042643222222,1541.7129855555554,1593.321316111111,1622.9051105555554,1654.3265381111107,1689.6960992222218,1722.7283258888888,1754.042901111111,1767.324802111111,1793.2161323333332,1805.582126222222,1833.2614611111107,1854.163018222222,1875.1597901111109,1896.4474421111108,1906.8866509999998,1909.6577692222218,1870.7996691111107,1828.677341111111,1781.3716633333331,1745.2882077777776,1719.5432126666665,1726.3175589999998,1735.8417968888887,1757.9446886666665,1762.1214598888887,1770.0668944444442,1776.740451333333,1777.6123453333332,1776.0342339999997,1767.4780137777775,1774.4720188888887,1785.235799222222,1793.2560086666663,1794.462565222222,1801.2116699999997,1825.125773111111,1851.3099907777773,1889.3036566666665,1926.4996745555552,1963.2423367777778,1998.4627957777775,2021.910902222222,2025.750122111111,2024.8334418888885,2014.4326579999997,2018.6076796666662,2008.4993626666665,1993.350369111111,1983.0506864444442,1966.9424506666664,1965.8290065555552,1946.0245496666664,1929.3173284444442,1899.0379908888888,1883.123562222222,1872.5632188888885,1858.2237685555554,1821.2016329999997,1776.7781033333333,1743.0032144444444,1710.0137803333332,1666.100545111111,1620.3045653333331,1588.3368054444443,1563.8474663333332,1529.4106715555552,1488.1636553333333,1691.899255818287,2025.750122111111,1348.7466634444443,6.0,7.0,19.0,13.0
9,1470.8946939999998,1457.3872068888886,1432.4379744444443,1424.3965383333332,1404.4442136666667,1406.4207763333332,1397.7552355555554,1396.8401286666667,1388.6766764444442,1373.3103298888886,1364.9027777777776,1357.5197754444443,1348.06623,1344.1661106666666,1332.4015706666664,1344.7881265555554,1355.6643473333334,1368.5973307777776,1381.7203369999997,1393.16824,1402.127916111111,1402.4377847777776,1406.0854356666666,1435.661648222222,1453.366889111111,1479.7755805555553,1493.5487061111112,1508.7059055555553,1519.4445529999998,1537.9649928888887,1578.0160995555552,1607.1631128888887,1645.7493217777774,1682.5085585555553,1720.2629937777776,1745.1536731111112,1755.7614475555556,1784.0451117777777,1801.7365586666665,1825.0455593333331,1837.7673475555555,1850.6615667777776,1878.6597901111109,1895.7229953333333,1905.3157824444443,1868.8356797777774,1822.9082437777777,1774.203328333333,1741.3944225555551,1717.310316222222,1721.1269937777774,1725.2717964444444,1746.770128111111,1755.9391275555554,1766.3672144444442,1770.1359997777774,1770.9367809999999,1768.8915744444444,1770.8393554444442,1768.1249186666664,1776.1814643333332,1775.2091064444442,1777.5969916666666,1781.2549913333332,1799.765557222222,1824.434448333333,1865.6543376666664,1911.1258953333331,1965.2623427777776,2004.5296767777775,2027.8286811111109,2024.8621148888888,2025.6355658888886,2014.2836778888886,2017.3346896666662,2002.5342475555553,1988.4707845555554,1969.560004444444,1947.9583334444442,1937.4177925555553,1928.7313368888886,1922.596788111111,1905.3622367777775,1886.0831297777777,1867.6143392222218,1843.103434333333,1802.3108724444442,1764.4268935555551,1735.6932373333332,1693.081570111111,1647.6758759999998,1600.1435408888885,1570.290554222222,1543.7540146666665,1510.2280136666664,1478.3090003333332,1682.516764314815,2027.8286811111109,1332.4015706666664,7.0,8.0,17.0,12.5
